Title,Metadata.Genres,Metadata.Publishers,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,Release.Year
Super Mario 64 DS,Action,Nintendo,85,4.69,2044.403,Nintendo DS,2004
Lumines: Puzzle Fusion,Strategy,Ubisoft,89,0.56,1225.003,Sony PSP,2004
WarioWare Touched!,"Action,Racing / Driving,Sports",Nintendo,81,0.54,1880.523,Nintendo DS,2004
Hot Shots Golf: Open Tee,Sports,Sony,81,0.49,1061.123,Sony PSP,2004
Spider-Man 2,Action,Activision,61,0.45,1225.003,Nintendo DS,2004
The Urbz: Sims in the City,Simulation,EA,67,0.41,1061.123,Nintendo DS,2004
Ridge Racer,Racing / Driving,Namco,88,0.36,1634.703,Sony PSP,2004
Metal Gear Ac!d,Strategy,Konami,75,0.34,1470.823,Sony PSP,2004
Madden NFL 2005,Sports,EA,68,0.25,733.363,Nintendo DS,2004
Pokmon Dash,Racing / Driving,Nintendo,46,0.22,2044.403,Nintendo DS,2004
Dynasty Warriors,"Action,Adventure,Role-Playing (RPG)",,62,0.2,1225.003,Sony PSP,2004
Feel the Magic XY/XX,"Action,Adventure,Racing / Driving,Sports",Sega,75,0.16,733.363,Nintendo DS,2004
Ridge Racer DS,Racing / Driving,Namco,63,0.15,815.303,Nintendo DS,2004
Darkstalkers Chronicle: The Chaos Tower,Action,Capcom,74,0.14,1225.003,Sony PSP,2004
Ape Escape Academy,"Action,Sports",Sony,51,0.13,1225.003,Sony PSP,2004
Polarium,Strategy,Nintendo,73,0.12,733.363,Nintendo DS,2004
Asphalt: Urban GT,"Racing / Driving,Simulation",Ubisoft,60,0.11,1225.003,Nintendo DS,2004
Zoo Keeper,Action,,74,0.1,1225.003,Nintendo DS,2004
Mr. DRILLER: Drill Spirits,Action,Namco,72,0.09,1225.003,Nintendo DS,2004
Sprung,Adventure,Ubisoft,48,0.06,733.363,Nintendo DS,2004
Armored Core: Formula Front - Extreme Battle,"Action,Strategy",,66,0.05,1388.883,Sony PSP,2004
Puyo Pop Fever,"Action,Strategy",Sega,76,0.04,1634.703,Nintendo DS,2004
Mario Kart DS,Racing / Driving,Nintendo,91,9.99,2454.103,Nintendo DS,2005
Nintendogs,Simulation,Nintendo,83,9.72,2208.283,Nintendo DS,2005
Brain Age: Train Your Brain in Minutes a Day!,Action,Nintendo,77,5.07,1470.823,Nintendo DS,2005
Brain Agey: More Training in Minutes a Day!,Action,Nintendo,77,3.65,1470.823,Nintendo DS,2005
Grand Theft Auto: Liberty City Stories,"Action,Racing / Driving","Capcom,Rockstar",88,2.97,1470.823,Sony PSP,2005
Animal Crossing: Wild World,Simulation,Nintendo,86,2.6,2044.403,Nintendo DS,2005
Big Brain Academy,Action,Nintendo,74,1.77,1388.883,Nintendo DS,2005
Call of Duty 2,Action,"Activision,Konami",89,1.69,1470.823,X360,2005
Midnight Club 3: DUB Edition,Racing / Driving,Rockstar,74,1.69,1225.003,Sony PSP,2005
Need for Speed: Most Wanted 5-1-0,Racing / Driving,EA,72,1.67,1225.003,Sony PSP,2005
Pokmon Mystery Dungeon: Blue Rescue Team,Role-Playing (RPG),Nintendo,62,1.22,1225.003,Nintendo DS,2005
Sonic Rush,Action,Sega,82,1.2,1225.003,Nintendo DS,2005
Star Wars: Battlefront II,Action,,69,1.09,1388.883,Sony PSP,2005
SOCOM: U.S. Navy SEALs - Fireteam Bravo,Action,Sony,82,1.07,1225.003,Sony PSP,2005
Need for Speed: Most Wanted,Racing / Driving,EA,83,0.95,1470.823,X360,2005
Zoo Tycoon DS,"Simulation,Strategy",THQ,44,0.92,1061.123,Nintendo DS,2005
The Sims 2,"Role-Playing (RPG),Simulation",EA,70,0.83,1470.823,Nintendo DS,2005
Mario & Luigi: Partners in Time,"Action,Role-Playing (RPG)",Nintendo,86,0.75,2454.103,Nintendo DS,2005
Madden NFL 06,Sports,EA,75,0.75,651.423,Sony PSP,2005
Need for Speed Underground: Rivals,Racing / Driving,EA,74,0.73,1470.823,Sony PSP,2005
Twisted Metal: Head-On,"Action,Racing / Driving",Sony,79,0.73,1225.003,Sony PSP,2005
Perfect Dark Zero,Action,Microsoft,79,0.7,1470.823,X360,2005
Super Monkey Ball: Touch & Roll,Action,Sega,63,0.7,1306.943,Nintendo DS,2005
Super Princess Peach,Action,Nintendo,75,0.7,2454.103,Nintendo DS,2005
Burnout Legends,"Action,Racing / Driving",EA,86,0.68,1225.003,Sony PSP,2005
Madden NFL 06,Sports,EA,74,0.62,405.603,X360,2005
Clubhouse Games,Strategy,Nintendo,83,0.61,1470.823,Nintendo DS,2005
ATV Offroad Fury: Blazin' Trails,"Racing / Driving,Sports",Sony,63,0.56,1061.123,Sony PSP,2005
Untold Legends: Brotherhood of the Blade,"Action,Role-Playing (RPG)","Activision,Sony",68,0.56,1061.123,Sony PSP,2005
Tony Hawk's Underground 2: Remix,Sports,Activision,83,0.49,1225.003,Sony PSP,2005
The Sims 2,"Simulation,Strategy",EA,65,0.46,1225.003,Sony PSP,2005
WipEout Pure,"Action,Racing / Driving",Sony,88,0.45,1061.123,Sony PSP,2005
NBA Live 06,Sports,EA,80,0.42,815.303,Sony PSP,2005
WWE Smackdown vs. Raw 2006,"Action,Sports",THQ,81,0.38,1225.003,Sony PSP,2005
Dead or Alive 4,Action,,85,0.38,1470.823,X360,2005
Phoenix Wright: Ace Attorney,"Adventure,Simulation",Capcom,81,0.38,2044.403,Nintendo DS,2005
Spider-Man 2,Action,Activision,67,0.38,1225.003,Sony PSP,2005
NFL Street 2,Sports,EA,73,0.37,1470.823,Sony PSP,2005
Kirby: Canvas Curse,Action,Nintendo,86,0.37,1470.823,Nintendo DS,2005
Battlefield 2: Modern Combat,Action,EA,77,0.36,1388.883,X360,2005
Yoshi Touch & Go,Action,Nintendo,73,0.36,1470.823,Nintendo DS,2005
Tiger Woods PGA Tour 06,Sports,EA,71,0.33,815.303,X360,2005
Condemned: Criminal Origins,"Action,Adventure",Sega,81,0.33,1225.003,X360,2005
Peter Jackson's King Kong: The Official Game of...,Action,Ubisoft,80,0.32,1225.003,X360,2005
Castlevania: Dawn of Sorrow,"Action,Role-Playing (RPG)",Konami,89,0.31,1470.823,Nintendo DS,2005
SpongeBob SquarePants: The Yellow Avenger,Action,THQ,67,0.31,1143.063,Nintendo DS,2005
Marvel Nemesis: Rise of the Imperfects ,Action,EA,58,0.31,1470.823,Sony PSP,2005
Kameo: Elements of Power,Action,Microsoft,79,0.31,979.183,X360,2005
Advance Wars: Dual Strike,Strategy,Nintendo,90,0.3,1470.823,Nintendo DS,2005
Trauma Center: Under the Knife,"Action,Simulation",Nintendo,81,0.3,1306.943,Nintendo DS,2005
Coded Arms,Action,Konami,59,0.3,1061.123,Sony PSP,2005
NBA LIVE 06 ,Sports,EA,64,0.29,405.603,X360,2005
Tony Hawk's American Wasteland,Sports,Activision,75,0.29,1225.003,X360,2005
Star Wars: Episode III - Revenge of the Sith,Action,Ubisoft,73,0.28,1388.883,Nintendo DS,2005
Capcom Classics Collection Remixed,Action,Capcom,72,0.28,1470.823,Sony PSP,2005
Madagascar,Adventure,Activision,66,0.27,1225.003,Nintendo DS,2005
X-Men: Legends II - Rise of Apocalypse,"Action,Role-Playing (RPG)",Activision,84,0.27,1470.823,Sony PSP,2005
Quake 4,Action,Activision,75,0.27,1225.003,X360,2005
Pokmon Trozei!,Strategy,Nintendo,74,0.26,1634.703,Nintendo DS,2005
Need for Speed: Most Wanted,Racing / Driving,EA,45,0.25,1306.943,Nintendo DS,2005
Mega Man Maverick Hunter X,Action,Capcom,79,0.25,1470.823,Sony PSP,2005
Metroid Prime Pinball,"Action,Simulation",Nintendo,79,0.22,1470.823,Nintendo DS,2005
NBA 06,Sports,Sony,72,0.22,815.303,Sony PSP,2005
GUN ,"Action,Racing / Driving,Role-Playing (RPG)",Activision,75,0.22,1634.703,X360,2005
NBA 2K6 ,Sports,2K,81,0.22,405.603,X360,2005
Pinball Hall of Fame: The Gottlieb Collection,Action,,73,0.21,815.303,Sony PSP,2005
Harry Potter and the Goblet of Fire,Action,EA,68,0.21,1470.823,Nintendo DS,2005
Tony Hawk's American Sk8land,Sports,Activision,84,0.21,1388.883,Nintendo DS,2005
MVP Baseball,Sports,EA,67,0.21,405.603,Sony PSP,2005
Tiger Woods PGA Tour,Sports,EA,78,0.21,1470.823,Sony PSP,2005
World Series of Poker,"Sports,Strategy",Activision,37,0.21,1225.003,Sony PSP,2005
SSX on Tour,Sports,EA,79,0.2,1388.883,Sony PSP,2005
Tiger Woods PGA Tour 06,Sports,EA,80,0.2,815.303,Sony PSP,2005
Death Jr.,Action,Konami,61,0.19,815.303,Sony PSP,2005
Harry Potter and the Goblet of Fire,Action,EA,70,0.19,1470.823,Sony PSP,2005
MediEvil Resurrection,Action,Sony,66,0.19,1470.823,Sony PSP,2005
"The Chronicles of Narnia: The Lion, the Witch a...","Action,Role-Playing (RPG)",,65,0.18,1061.123,Nintendo DS,2005
Shrek SuperSlam,Action,Activision,56,0.18,979.183,Nintendo DS,2005
Virtua Tennis: World Tour,Sports,Sega,84,0.18,1225.003,Sony PSP,2005
Prince of Persia: Revelations,Action,Ubisoft,65,0.17,569.483,Sony PSP,2005
Burnout Legends,"Action,Racing / Driving",EA,38,0.16,1470.823,Nintendo DS,2005
Meteos,Strategy,Nintendo,88,0.16,1306.943,Nintendo DS,2005
Spyro: Shadow Legacy,Role-Playing (RPG),,50,0.15,1470.823,Nintendo DS,2005
The Con,Action,Sony,63,0.15,733.363,Sony PSP,2005
Infected,Action,,74,0.15,1470.823,Sony PSP,2005
Pursuit Force,"Action,Racing / Driving",Sony,75,0.14,1225.003,Sony PSP,2005
Kingdom of Paradise,"Action,Role-Playing (RPG)",Sony,72,0.13,1061.123,Sony PSP,2005
Dragon Ball Z: Supersonic Warriors 2,Action,Atari,66,0.13,1880.523,Nintendo DS,2005
Dragon Quest Heroes: Rocket Slime,Action,SquareEnix,83,0.13,1061.123,Nintendo DS,2005
Dead to Rights: Reckoning,Action,Namco,54,0.13,1225.003,Sony PSP,2005
Amped 3,Sports,2K,72,0.13,1225.003,X360,2005
Break 'em All,Action,,68,0.12,1470.823,Nintendo DS,2005
Lunar: Dragon Song,Role-Playing (RPG),Ubisoft,59,0.12,1225.003,Nintendo DS,2005
Madden NFL 06,Sports,EA,66,0.12,815.303,Nintendo DS,2005
Retro Atari Classics,"Action,Racing / Driving,Simulation",Atari,51,0.12,1061.123,Nintendo DS,2005
True Swing Golf,Sports,Nintendo,66,0.12,1225.003,Nintendo DS,2005
FIFA Soccer,Sports,EA,73,0.12,1225.003,Sony PSP,2005
Metal Gear Ac!d 2,Strategy,Konami,80,0.12,1061.123,Sony PSP,2005
ATV Quad Frenzy,"Racing / Driving,Sports",,35,0.11,1225.003,Nintendo DS,2005
